Target Domain,Source Domain,GPT3 Completion,Example
mind,body,body/flexibility,His mind is strong and supple.
mind,body,grasping/holding,The idea just slipped through my fingers.
problem,body of water,water,He dived right into the problem.
problem,body of water,container/supply,He kept coming up empty.
importance,centrality,clothing or covering,Let's strip away all the unimportant details.
importance,centrality,location or position,That's just a peripheral issue.
disparity,change,size or height,The phone poles get taller as you approach the freeway.
disparity,change,time/rotation,The president changes every four years.
obligations,children,parenting,The setting of salaries is his baby.
obligations,children,tasks or chores,He's been neglecting his duties.
purpose,direction,direction/motion,He is just floating around.
purpose,direction,movement or travel,She is a drifter with no direction.
facial expression,cover,physical object/action (wiping),Wipe that smile off your face.
facial expression,cover,weight,The disquiteting expression was lifted from her face.
defeat,drowning,swimming/survival.,I'm just trying to keep my head above water.
defeat,drowning,water/swimming,Try not to get in over your head.
emotion stability,grounding,physical stability/positioning,She has her feet on the ground.
emotion stability,grounding,physical height or motion,I'm up in the air.
intelligence,light,light,He is very bright.
intelligence,light,lighting,I always thought he was a little dim.
hope,light,weather,The clouds were a glimmer of hope that rain might come.
hope,light,light or brightness,I have a very dim hope that he'll recover.
amount,length,space/quantity.,He's short of money.
amount,length,measurement,He's short on intelligence.
time,landscape,upcoming event / physical approach,We're coming up on Xmas.
time,landscape,distance/journey,He didn't make it to Tuesday.
love,journey,journey/directions,They are at a crossroads in their relationship.
love,journey,journey/railway track,Their marriage has really gone off the track.
life,journey,journey/travel,"I don't know where I'm headed, but I'm enjoying getting there."
life,journey,journey,He's headed for great things.
love,insanity,madness/insanity,He raves about her.
love,insanity,insanity,She is madly in love.
desire,hunger,hunger,He was drooling over her.
desire,hunger,hunger/food,He hungers for her touch.
anger,heat,temperature,She's a real hothead.
anger,heat,fire,His eyes smouldered with rage.
beliefs,guides,government/control,You are governed by your beliefs.
beliefs,guides,travel,You go by your beliefs.
final state,goal,journey,I ended up exhausted.
final state,goal,journey,His reckless investments are taking him into backruptcy.
emotion,force,physical force/motion,I was moved by the poem.
emotion,force,movement/physical force,She was carried away by the song.
competition,fight,fighting,He clobbered me at tennis.
competition,fight,fighting,Those swim teams have been slugging it out all season.
light,fluid,liquid or flow,Sunlight poured into the room.
light,fluid,water,Pools of light were scattered across the clearing.
ideas,food,food,She gave us some brain food.
ideas,food,communication,We have a live satellite feed from London.
desire,force,magnetism,They were drawn to each other.
desire,force,energy,I could feel the electricity between us.
communication,writing,writing/inscription,His guilt was written all over his face.
communication,writing,writing/spelling,Do I have to spell it out for you?
influence,force,force,He can exert his influence on her.
influence,force,force or weight,Reagan brought pressure to bear upon his cabinet.
end of action,goal,journey/movement,We are reaching the end of the house-buying process.
end of action,goal,journey,We are entering the last stages of filing for bankrupcy.
getting,eating,removing,Cough up the money you owe me!
getting,eating,feeding,I've been feeding him funds illegally for a year.
problem,path,movement/direction,Let's follow this line of thinking.
problem,path,travel/transportation,Let's get our thinking back on track.
intoxication,electrification,electricity/electronics,He was wired.
intoxication,electrification,lighting up,He was lit.
emotion,heat,heat and fire.,The crowd was all fired up.
emotion,heat,heat/flame,He had a burning emotion.
affection,warmth,temperature/hotness,They gave me a warm welcome.
affection,warmth,temperature,He took a while to warm up to me.
compliance,following,movement in space (i.e. following someone's lead),He went along with what he was told to do.
compliance,following,movement/physical action,He followed his orders.
ideas,container,objects,I can't get this idea out of my mind.
ideas,container,physical space or container.,What did you have in mind?
more,up,up,The number of people living in poverty went up.
more,up,size/volume,Can you please decrease the number of assignments?
ideas,object,objects being passed or transferred,Sally gave the idea to Sam.
ideas,object,commodities/buying and selling,IBM bought the idea from him.
strong emotion,insanity,mental state,He's out of his mind with grief.
strong emotion,insanity,mental instability,I'm mad with jealousy.
intoxication,burden,wealth/riches,She was loaded.
intoxication,burden,liquid,She was tanked up.
rational,up,physical location or orientation (up and down),"The discussion fell to the emotional level, but I raised it back up to the rational plane."
rational,up,up/down,He couldn't rise above his emotions.
excitement,insanity,physical location or boundary,The excitement is driving me over the edge.
